LAST_SEEN            | FIRST_SEEN           | NAME                                                           | SUBOBJECT                                 | TYPE     | REASON                  | MESSAGE                                                                                                                                                                                                                                  | 
2024-08-28 16:36:12  | 2024-08-28 16:36:12  | mnisttest-head-64pt8.17efdfba1a1c3d52                          | spec.containers{oauth-proxy}              | Normal   | Pulling                 | Pulling image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:1ea6a01bf3e63cdcf125c6064cbd4a4a270deaf0f157b3eabb78f60556840366"                                                                                                    | 
2024-08-28 16:36:20  | 2024-08-28 16:36:20  | mnisttest-head-64pt8.17efdfbbd4923fa6                          | spec.containers{oauth-proxy}              | Normal   | Pulled                  | Successfully pulled image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:1ea6a01bf3e63cdcf125c6064cbd4a4a270deaf0f157b3eabb78f60556840366" in 7.423s (7.423s including waiting)                                                   | 
2024-08-28 16:36:20  | 2024-08-28 16:36:20  | mnisttest-head-64pt8.17efdfbbdfdc975b                          | spec.containers{oauth-proxy}              | Normal   | Created                 | Created container oauth-proxy                                                                                                                                                                                                            | 
2024-08-28 16:36:20  | 2024-08-28 16:36:20  | mnisttest-head-64pt8.17efdfbbe2580940                          | spec.containers{oauth-proxy}              | Normal   | Started                 | Started container oauth-proxy                                                                                                                                                                                                            | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest-head-7n2rn.17efdf827d96e336                          | -                                         | Normal   | Scheduled               | Successfully assigned test-ns-gr68w/mnisttest-head-7n2rn to ip-10-0-26-169.eu-west-1.compute.internal                                                                                                                                    | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf827f125d53  | -                                         | Normal   | Scheduled               | Successfully assigned test-ns-gr68w/mnisttest-worker-small-group-mnisttest-5f46q to ip-10-0-26-169.eu-west-1.compute.internal                                                                                                            | 
2024-08-28 16:32:14  | 2024-08-28 16:32:14  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf8297c8d305  | -                                         | Normal   | AddedInterface          | Add eth0 [10.129.4.26/23] from ovn-kubernetes                                                                                                                                                                                            | 
2024-08-28 16:32:14  | 2024-08-28 16:32:14  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf8299906382  | spec.initContainers{create-cert}          | Normal   | Pulling                 | Pulling image "registry.redhat.io/ubi9@sha256:770cf07083e1c85ae69c25181a205b7cdef63c11b794c89b3b487d4670b4c328"                                                                                                                          | 
2024-08-28 16:32:23  | 2024-08-28 16:32:23  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf84bdede979  | spec.initContainers{create-cert}          | Normal   | Pulled                  | Successfully pulled image "registry.redhat.io/ubi9@sha256:770cf07083e1c85ae69c25181a205b7cdef63c11b794c89b3b487d4670b4c328" in 9.2s (9.2s including waiting)                                                                             | 
2024-08-28 16:32:23  | 2024-08-28 16:32:23  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf84c5f4b56c  | spec.initContainers{create-cert}          | Normal   | Created                 | Created container create-cert                                                                                                                                                                                                            | 
2024-08-28 16:32:23  | 2024-08-28 16:32:23  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf84c737ee16  | spec.initContainers{create-cert}          | Normal   | Started                 | Started container create-cert                                                                                                                                                                                                            | 
2024-08-28 16:32:24  | 2024-08-28 16:32:24  | mnisttest-worker-small-group-mnisttest-5f46q.17efdf8512b39d85  | spec.initContainers{wait-gcs-ready}       | Normal   | Pulling                 | Pulling image "quay.io/rhoai/ray:2.23.0-py39-cu121"                                                                                                                                                                                      | 
2024-08-28 16:36:07  | 2024-08-28 16:36:07  | mnisttest-worker-small-group-mnisttest-5f46q.17efdfb8f9afa9b3  | spec.initContainers{wait-gcs-ready}       | Normal   | Pulled                  | Successfully pulled image "quay.io/rhoai/ray:2.23.0-py39-cu121" in 3m42.918s (3m42.918s including waiting)                                                                                                                               | 
2024-08-28 16:36:12  | 2024-08-28 16:36:12  | mnisttest-worker-small-group-mnisttest-5f46q.17efdfba18a43c7e  | spec.initContainers{wait-gcs-ready}       | Normal   | Created                 | Created container wait-gcs-ready                                                                                                                                                                                                         | 
2024-08-28 16:36:12  | 2024-08-28 16:36:12  | mnisttest-worker-small-group-mnisttest-5f46q.17efdfba19fdedd9  | spec.initContainers{wait-gcs-ready}       | Normal   | Started                 | Started container wait-gcs-ready                                                                                                                                                                                                         | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf82675523c9                                     | -                                         | Normal   | Created                 | Created service mnisttest-head-svc                                                                                                                                                                                                       | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf8267561087                                     | -                                         | Normal   | Deleted                 | Deleted Pods for RayCluster test-ns-gr68w/mnisttest due to suspension                                                                                                                                                                    | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf826ee7e99d                                     | -                                         | Normal   | CreatedWorkload         | Created Workload: test-ns-gr68w/raycluster-mnisttest-d0b8d                                                                                                                                                                               | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf82752cef56                                     | -                                         | Normal   | Started                 | Admitted by clusterQueue cq-nv5gz                                                                                                                                                                                                        | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf82772f05fe                                     | -                                         | Warning  | PodReconciliationError  | pods "mnisttest-head-" is forbidden: error looking up service account test-ns-gr68w/mnisttest-oauth-proxy: serviceaccount "mnisttest-oauth-proxy" not found                                                                              | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf827d27a56b                                     | -                                         | Normal   | Created                 | Created head pod mnisttest-head-7n2rn                                                                                                                                                                                                    | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | mnisttest.17efdf827e915b23                                     | -                                         | Normal   | Created                 | Created worker pod                                                                                                                                                                                                                       | 
2024-08-28 16:32:16  | 2024-08-28 16:32:16  | mnisttest.17efdf83065395ae                                     | -                                         | Normal   | Created                 | Created head pod mnisttest-head-64pt8                                                                                                                                                                                                    | 
2024-08-28 16:31:20  | 2024-08-28 16:31:20  | pvc-bbr5h.17efdf760e7a7dec                                     | -                                         | Normal   | WaitForFirstConsumer    | waiting for first consumer to be created before binding                                                                                                                                                                                  | 
2024-08-28 16:31:21  | 2024-08-28 16:31:21  | pvc-bbr5h.17efdf76484be650                                     | -                                         | Normal   | Provisioning            | External provisioner is provisioning volume for claim "test-ns-gr68w/pvc-bbr5h"                                                                                                                                                          | 
2024-08-28 16:31:22  | 2024-08-28 16:31:21  | pvc-bbr5h.17efdf76485d3e4b                                     | -                                         | Normal   | ExternalProvisioning    | Waiting for a volume to be created either by the external provisioner 'ebs.csi.aws.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.  | 
2024-08-28 16:31:25  | 2024-08-28 16:31:25  | pvc-bbr5h.17efdf774bbe8886                                     | -                                         | Normal   | ProvisioningSucceeded   | Successfully provisioned volume pvc-ceda1280-a076-47b0-9599-5291d3a34740                                                                                                                                                                 | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | raycluster-mnisttest-d0b8d.17efdf8270778471                    | -                                         | Normal   | QuotaReserved           | Quota reserved in ClusterQueue cq-nv5gz, wait time since queued was 1s                                                                                                                                                                   | 
2024-08-28 16:32:13  | 2024-08-28 16:32:13  | raycluster-mnisttest-d0b8d.17efdf827077cbbe                    | -                                         | Normal   | Admitted                | Admitted by ClusterQueue cq-nv5gz, wait time since reservation was 0s                                                                                                                                                                    | 
