LAST_SEEN            | FIRST_SEEN           | NAME                                                           | SUBOBJECT                                 | TYPE     | REASON                  | MESSAGE                                                                                                                                                                                                                                  | 
2024-08-29 17:10:44  | 2024-08-29 17:10:44  | jupyter-nb-kube-3aadmin-0.17f03030ffbe11b6                     | -                                         | Normal   | Scheduled               | Successfully assigned test-ns-l5q2d/jupyter-nb-kube-3aadmin-0 to ip-10-0-33-185.eu-west-1.compute.internal                                                                                                                               | 
2024-08-29 17:10:46  | 2024-08-29 17:10:46  | jupyter-nb-kube-3aadmin-0.17f0303168fc601d                     | -                                         | Normal   | SuccessfulAttachVolume  | AttachVolume.Attach succeeded for volume "pvc-90ad2348-4880-40b4-990b-60c0a1480b44"                                                                                                                                                      | 
2024-08-29 17:10:52  | 2024-08-29 17:10:52  | jupyter-nb-kube-3aadmin-0.17f03032fbac6f66                     | -                                         | Normal   | AddedInterface          | Add eth0 [10.131.2.20/23] from ovn-kubernetes                                                                                                                                                                                            | 
2024-08-29 17:10:52  | 2024-08-29 17:10:52  | jupyter-nb-kube-3aadmin-0.17f03032fd45d2c3                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulling                 | Pulling image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547"                                                                                                   | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin-0.17f030332b69b585                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulled                  | Successfully pulled image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547" in 774ms (774ms including waiting)                                                    | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin-0.17f03033318b132a                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Created                 | Created container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin-0.17f03033329b6cd0                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Started                 | Started container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin-0.17f0303332a72296                     | spec.containers{oauth-proxy}              | Normal   | Pulling                 | Pulling image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46"                                                                                                    | 
2024-08-29 17:10:54  | 2024-08-29 17:10:54  | jupyter-nb-kube-3aadmin-0.17f030336b23e7da                     | spec.containers{oauth-proxy}              | Normal   | Pulled                  | Successfully pulled image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46" in 947ms (947ms including waiting)                                                     | 
2024-08-29 17:10:55  | 2024-08-29 17:10:55  | jupyter-nb-kube-3aadmin-0.17f030337f79a179                     | spec.containers{oauth-proxy}              | Normal   | Created                 | Created container oauth-proxy                                                                                                                                                                                                            | 
2024-08-29 17:10:55  | 2024-08-29 17:10:55  | jupyter-nb-kube-3aadmin-0.17f0303380c2a306                     | spec.containers{oauth-proxy}              | Normal   | Started                 | Started container oauth-proxy                                                                                                                                                                                                            | 
2024-08-29 17:13:00  | 2024-08-29 17:13:00  | jupyter-nb-kube-3aadmin-0.17f030509a4853e0                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Killing                 | Stopping container jupyter-nb-kube-3aadmin                                                                                                                                                                                               | 
2024-08-29 17:13:00  | 2024-08-29 17:13:00  | jupyter-nb-kube-3aadmin-0.17f030509a4edcc2                     | spec.containers{oauth-proxy}              | Normal   | Killing                 | Stopping container oauth-proxy                                                                                                                                                                                                           | 
2024-08-29 17:10:39  | 2024-08-29 17:10:39  | jupyter-nb-kube-3aadmin.17f0302fd4e79642                       | -                                         | Normal   | SuccessfulCreate        | create Pod jupyter-nb-kube-3aadmin-0 in StatefulSet jupyter-nb-kube-3aadmin successful                                                                                                                                                   | 
2024-08-29 17:10:39  | 2024-08-29 17:10:39  | jupyter-nb-kube-3aadmin.17f0302fd5d32cec                       | -                                         | Normal   | SuccessfulCreate        | Reissued from statefulset/jupyter-nb-kube-3aadmin: create Pod jupyter-nb-kube-3aadmin-0 in StatefulSet jupyter-nb-kube-3aadmin successful                                                                                                | 
2024-08-29 17:10:44  | 2024-08-29 17:10:44  | jupyter-nb-kube-3aadmin.17f0303101246484                       | -                                         | Normal   | Scheduled               | Reissued from pod/jupyter-nb-kube-3aadmin-0: Successfully assigned test-ns-l5q2d/jupyter-nb-kube-3aadmin-0 to ip-10-0-33-185.eu-west-1.compute.internal                                                                                  | 
2024-08-29 17:10:46  | 2024-08-29 17:10:46  | jupyter-nb-kube-3aadmin.17f03031693d1f31                       | -                                         | Normal   | SuccessfulAttachVolume  | Reissued from pod/jupyter-nb-kube-3aadmin-0: AttachVolume.Attach succeeded for volume "pvc-90ad2348-4880-40b4-990b-60c0a1480b44"                                                                                                         | 
2024-08-29 17:10:52  | 2024-08-29 17:10:52  | jupyter-nb-kube-3aadmin.17f03032fbfeb542                       | -                                         | Normal   | AddedInterface          | Reissued from pod/jupyter-nb-kube-3aadmin-0: Add eth0 [10.131.2.20/23] from ovn-kubernetes                                                                                                                                               | 
2024-08-29 17:10:52  | 2024-08-29 17:10:52  | jupyter-nb-kube-3aadmin.17f03032fdf2eb14                       | -                                         | Normal   | Pulling                 | Reissued from pod/jupyter-nb-kube-3aadmin-0: Pulling image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547"                                                      | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin.17f030332bbb121d                       | -                                         | Normal   | Pulled                  | Reissued from pod/jupyter-nb-kube-3aadmin-0: Successfully pulled image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547" in 774ms (774ms including waiting)       | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin.17f0303331cdeb6c                       | -                                         | Normal   | Created                 | Reissued from pod/jupyter-nb-kube-3aadmin-0: Created container jupyter-nb-kube-3aadmin                                                                                                                                                   | 
2024-08-29 17:10:53  | 2024-08-29 17:10:53  | jupyter-nb-kube-3aadmin.17f0303332d8fb67                       | -                                         | Normal   | Started                 | Reissued from pod/jupyter-nb-kube-3aadmin-0: Started container jupyter-nb-kube-3aadmin                                                                                                                                                   | 
