LAST_SEEN            | FIRST_SEEN           | NAME                                                           | SUBOBJECT                                 | TYPE     | REASON                  | MESSAGE                                                                                                                                                                                                                                  | 
2024-08-28 16:37:11  | 2024-08-28 16:37:11  | jupyter-nb-kube-3aadmin-0.17efdfc7c86017c1                     | -                                         | Normal   | Scheduled               | Successfully assigned test-ns-45zs2/jupyter-nb-kube-3aadmin-0 to ip-10-0-33-185.eu-west-1.compute.internal                                                                                                                               | 
2024-08-28 16:37:13  | 2024-08-28 16:37:13  | jupyter-nb-kube-3aadmin-0.17efdfc850d2e40b                     | -                                         | Normal   | SuccessfulAttachVolume  | AttachVolume.Attach succeeded for volume "pvc-bef3be1d-e6b6-4eee-a925-eea951a5d1e5"                                                                                                                                                      | 
2024-08-28 16:37:17  | 2024-08-28 16:37:17  | jupyter-nb-kube-3aadmin-0.17efdfc922dc1db4                     | -                                         | Normal   | AddedInterface          | Add eth0 [10.131.2.12/23] from ovn-kubernetes                                                                                                                                                                                            | 
2024-08-28 16:37:17  | 2024-08-28 16:37:17  | jupyter-nb-kube-3aadmin-0.17efdfc92454e06b                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulling                 | Pulling image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547"                                                                                                   | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc9545ddc84                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Pulled                  | Successfully pulled image "quay.io/modh/odh-generic-data-science-notebook@sha256:9d7f80080a453bcf7dee01b986df9ee811ee74f6f433c601a8b67d283c160547" in 805ms (805ms including waiting)                                                    | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc95a5823a3                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Created                 | Created container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc95b71247a                     | spec.containers{jupyter-nb-kube-3aadmin}  | Normal   | Started                 | Started container jupyter-nb-kube-3aadmin                                                                                                                                                                                                | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc95b7de8de                     | spec.containers{oauth-proxy}              | Normal   | Pulling                 | Pulling image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46"                                                                                                    | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc975c52bf3                     | spec.containers{oauth-proxy}              | Normal   | Pulled                  | Successfully pulled image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:4bef31eb993feb6f1096b51b4876c65a6fb1f4401fee97fa4f4542b6b7c9bc46" in 440ms (440ms including waiting)                                                     | 
2024-08-28 16:37:18  | 2024-08-28 16:37:18  | jupyter-nb-kube-3aadmin-0.17efdfc987cefcc2                     | spec.containers{oauth-proxy}              | Normal   | Created                 | Created container oauth-proxy                                                                                                                                                                                                            | 
